Gare,Coordonnées,Ligne,Nombre de stations (100m),Nombre de stations (200m),Nombre de stations (300m),Nombre de stations (400m)
Saint-Quentin-en-Yvelines,"48.78739023735681, 2.044621988534177",RER C,,,0.0,
Saint-Quentin-en-Yvelines,"48.78739023735681, 2.044621988534177",RER C,,,,0.0
Savigny-sur-Orge,"48.67644665606244, 2.3524814010489967",RER C,0.0,,,
Savigny-sur-Orge,"48.67644665606244, 2.3524814010489967",RER C,,0.0,,
Savigny-sur-Orge,"48.67644665606244, 2.3524814010489967",RER C,,,0.0,
Savigny-sur-Orge,"48.67644665606244, 2.3524814010489967",RER C,,,,0.0
Sermaise,"48.535806508307815, 2.069381524887471",RER C,0.0,,,
Sermaise,"48.535806508307815, 2.069381524887471",RER C,,0.0,,
Sermaise,"48.535806508307815, 2.069381524887471",RER C,,,0.0,
Sermaise,"48.535806508307815, 2.069381524887471",RER C,,,,0.0
Seugy,"49.11902264537138, 2.3997248525189114",TRAIN H,0.0,,,
Seugy,"49.11902264537138, 2.3997248525189114",TRAIN H,,0.0,,
Seugy,"49.11902264537138, 2.3997248525189114",TRAIN H,,,0.0,
Seugy,"49.11902264537138, 2.3997248525189114",TRAIN H,,,,0.0
Sevran-Livry,"48.93628018471764, 2.5347149747425233",RER B,0.0,,,
Sevran-Livry,"48.93628018471764, 2.5347149747425233",RER B,,0.0,,
Sevran-Livry,"48.93628018471764, 2.5347149747425233",RER B,,,0.0,
Sevran-Livry,"48.93628018471764, 2.5347149747425233",RER B,,,,0.0
Tacoignières-Richebourg,"48.82942901439413, 1.6690101613655632",TRAIN N,0.0,,,
Tacoignières-Richebourg,"48.82942901439413, 1.6690101613655632",TRAIN N,,0.0,,
Tacoignières-Richebourg,"48.82942901439413, 1.6690101613655632",TRAIN N,,,0.0,
Tacoignières-Richebourg,"48.82942901439413, 1.6690101613655632",TRAIN N,,,,0.0
Taverny,"49.02496079387932, 2.2223226926705837",TRAIN H,0.0,,,
Taverny,"49.02496079387932, 2.2223226926705837",TRAIN H,,0.0,,
Taverny,"49.02496079387932, 2.2223226926705837",TRAIN H,,,0.0,
Taverny,"49.02496079387932, 2.2223226926705837",TRAIN H,,,,0.0
Puteaux,"48.8833838128909, 2.2336919201504086",TRAIN L,0.0,,,
Puteaux,"48.8833838128909, 2.2336919201504086",TRAIN L,,0.0,,
Puteaux,"48.8833838128909, 2.2336919201504086",TRAIN L,,,0.0,
Puteaux,"48.8833838128909, 2.2336919201504086",TRAIN L,,,,0.0
Rueil-Malmaison,"48.8875736177044, 2.1725794477184146",RER A,0.0,,,
Rueil-Malmaison,"48.8875736177044, 2.1725794477184146",RER A,,1.0,,
Rueil-Malmaison,"48.8875736177044, 2.1725794477184146",RER A,,,1.0,
Rueil-Malmaison,"48.8875736177044, 2.1725794477184146",RER A,,,,1.0
Saint-Cyr,"48.79870763435358, 2.0718470059294005",TRAIN U,0.0,,,
Saint-Cyr,"48.79870763435358, 2.0718470059294005",TRAIN U,,0.0,,
Saint-Cyr,"48.79870763435358, 2.0718470059294005",TRAIN U,,,0.0,
Saint-Cyr,"48.79870763435358, 2.0718470059294005",TRAIN U,,,,0.0
Saint-Denis,"48.93445554412717, 2.3456043781962896",RER D,0.0,,,
Saint-Denis,"48.93445554412717, 2.3456043781962896",RER D,,1.0,,
Saint-Denis,"48.93445554412717, 2.3456043781962896",RER D,,,1.0,
Saint-Denis,"48.93445554412717, 2.3456043781962896",RER D,,,,1.0
Sainte-Geneviève-des-Bois,"48.65281140050726, 2.312736251060262",RER C,0.0,,,
Sainte-Geneviève-des-Bois,"48.65281140050726, 2.312736251060262",RER C,,0.0,,
Sainte-Geneviève-des-Bois,"48.65281140050726, 2.312736251060262",RER C,,,0.0,
Sainte-Geneviève-des-Bois,"48.65281140050726, 2.312736251060262",RER C,,,,0.0
Vitry-sur-Seine,"48.80020939740985, 2.40271281718153",RER C,0.0,,,
Vitry-sur-Seine,"48.80020939740985, 2.40271281718153",RER C,,1.0,,
Vitry-sur-Seine,"48.80020939740985, 2.40271281718153",RER C,,,1.0,
Vitry-sur-Seine,"48.80020939740985, 2.40271281718153",RER C,,,,1.0
Vosves,"48.5151514532052, 2.5993042659192627",RER D,0.0,,,
Vosves,"48.5151514532052, 2.5993042659192627",RER D,,0.0,,
Vosves,"48.5151514532052, 2.5993042659192627",RER D,,,0.0,
Vosves,"48.5151514532052, 2.5993042659192627",RER D,,,,0.0
Vaucresson,"48.83664331709734, 2.152697400276264",TRAIN L,0.0,,,
Vaucresson,"48.83664331709734, 2.152697400276264",TRAIN L,,0.0,,
Vaucresson,"48.83664331709734, 2.152697400276264",TRAIN L,,,0.0,
Vaucresson,"48.83664331709734, 2.152697400276264",TRAIN L,,,,0.0
Vernouillet-Verneuil,"48.981445968476365, 1.9831433520864974",TRAIN J,0.0,,,
Vernouillet-Verneuil,"48.981445968476365, 1.9831433520864974",TRAIN J,,0.0,,
Vernouillet-Verneuil,"48.981445968476365, 1.9831433520864974",TRAIN J,,,0.0,
Vernouillet-Verneuil,"48.981445968476365, 1.9831433520864974",TRAIN J,,,,0.0
Vernou-sur-Seine,"48.38677098650291, 2.8420373888152235",TRAIN R,0.0,,,
Vernou-sur-Seine,"48.38677098650291, 2.8420373888152235",TRAIN R,,0.0,,
Vernou-sur-Seine,"48.38677098650291, 2.8420373888152235",TRAIN R,,,0.0,
Vernou-sur-Seine,"48.38677098650291, 2.8420373888152235",TRAIN R,,,,0.0
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN L,0.0,,,
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN L,,0.0,,
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN L,,,0.0,
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN L,,,,0.0
