Geo Point,Geo Shape,gares_id,nom_long,id_ref_ZdA,nom_ZdA,res_com,mode_,Latitude,Longitude,arrondissement,commune
"48.993777145958845, 2.416187488926983","{""coordinates"": [2.416187488926983, 48.993777145958845], ""type"": ""Point""}",909,Villiers-le-Bel-Gonesse-Arnouville,43222,Villiers-le-Bel - Gonesse - Arnouville,RER D,RER,48.993777145958845, 2.416187488926983,Banlieue,Arnouville
"48.60507627664525, 1.681645780403712","{""coordinates"": [1.681645780403712, 48.60507627664525], ""type"": ""Point""}",1026,Épernon,411511,Épernon,GL,TRAIN,48.60507627664525, 1.681645780403712,Banlieue,
"48.18643720864527, 1.3862450209435093","{""coordinates"": [1.386245020943509, 48.18643720864527], ""type"": ""Point""}",1035,Bonneval,411446,Bonneval,GL,TRAIN,48.18643720864527, 1.3862450209435093,Banlieue,
"49.13547414281775, 3.075626562947475","{""coordinates"": [3.075626562947475, 49.13547414281775], ""type"": ""Point""}",1068,Mareuil-sur-Ourcq,411375,Mareuil-sur-Ourcq,TRAIN P,TRAIN,49.13547414281775, 3.075626562947475,Banlieue,
"48.85105028137978, 2.3442733454213514","{""coordinates"": [2.344273345421351, 48.85105028137978], ""type"": ""Point""}",192,Cluny-La Sorbonne,44877,Saint-Michel Notre-Dame,METRO 10,METRO,48.85105028137978, 2.3442733454213514,5ème Ardt,Paris
"48.754946524596164, 2.3009868557349504","{""coordinates"": [2.30098685573495, 48.754946524596164], ""type"": ""Point""}",20,Antony,43066,Antony,RER B,RER,48.754946524596164, 2.3009868557349504,Banlieue,Antony
"48.97214167597384, 1.8483488082825008","{""coordinates"": [1.848348808282501, 48.97214167597384], ""type"": ""Point""}",33,Aubergenville-Élisabethville,43070,Aubergenville Élisabethville,TRAIN J,TRAIN,48.97214167597384, 1.8483488082825008,Banlieue,Aubergenville
"48.844139348918475, 2.373259976710645","{""coordinates"": [2.373259976710645, 48.844139348918475], ""type"": ""Point""}",306,Gare de Lyon,470195,Gare de Lyon,RER A,RER,48.844139348918475, 2.373259976710645,12ème Ardt,Paris
"48.74085329922273, 2.230839930557986","{""coordinates"": [2.230839930557986, 48.74085329922273], ""type"": ""Point""}",360,Igny,43083,Igny,RER C,RER,48.74085329922273, 2.230839930557986,Banlieue,Igny
"49.132577701458594, 2.2805153698198444","{""coordinates"": [2.280515369819844, 49.132577701458594], ""type"": ""Point""}",595,Nointel-Mours,47530,Nointel - Mours,TRAIN H,TRAIN,49.132577701458594, 2.2805153698198444,Banlieue,Nointel
"48.80021557720123, 2.129043867370255","{""coordinates"": [2.129043867370255, 48.80021557720123], ""type"": ""Point""}",885,Versailles Château,43220,Versailles Château Rive Gauche,RER C,RER,48.80021557720123, 2.129043867370255,Banlieue,Versailles
"48.56507294010044, 2.5426094498060037","{""coordinates"": [2.542609449806004, 48.56507294010044], ""type"": ""Point""}",819,Saint-Fargeau,45814,Saint-Fargeau,RER D,RER,48.56507294010044, 2.5426094498060037,Banlieue,Saint-Fargeau-Ponthierry
"48.85409607732852, 2.4886964657999346","{""coordinates"": [2.488696465799935, 48.85409607732852], ""type"": ""Point""}",869,Val de Fontenay,47900,Val de Fontenay,RER A,RER,48.85409607732852, 2.4886964657999346,Banlieue,Fontenay-sous-Bois
"48.74450070121573, 2.438668340778226","{""coordinates"": [2.438668340778226, 48.74450070121573], ""type"": ""Point""}",902,Villeneuve-Triage,46304,Villeneuve Triage,RER D,RER,48.74450070121573, 2.438668340778226,Banlieue,Villeneuve-Saint-Georges
"48.147218038978494, 2.762728388543795","{""coordinates"": [2.762728388543795, 48.147218038978494], ""type"": ""Point""}",1049,Dordives,58955,Dordives,TRAIN R,TRAIN,48.147218038978494, 2.762728388543795,Banlieue,
"49.20347844127161, 2.3772985520921446","{""coordinates"": [2.377298552092145, 49.20347844127161], ""type"": ""Point""}",1056,Précy-sur-Oise,411326,Précy-sur-Oise,TRAIN H,TRAIN,49.20347844127161, 2.3772985520921446,Banlieue,
"48.56432890583279, 2.170377259160042","{""coordinates"": [2.170377259160042, 48.56432890583279], ""type"": ""Point""}",110,Breuillet-Village,43099,Breuillet Village,RER C,RER,48.56432890583279, 2.170377259160042,Banlieue,Breuillet
"49.15512735960005, 2.3248275129679956","{""coordinates"": [2.324827512967996, 49.15512735960005], ""type"": ""Point""}",115,Bruyères-sur-Oise,47533,Bruyères-sur-Oise,TRAIN H,TRAIN,49.15512735960005, 2.3248275129679956,Banlieue,Bruyères-sur-Oise
"48.87420418539023, 2.2947732143825266","{""coordinates"": [2.294773214382527, 48.87420418539023], ""type"": ""Point""}",151,Charles De Gaulle-Étoile,58759,Charles-de-Gaulle Étoile,RER A,RER,48.87420418539023, 2.2947732143825266,17ème Ardt,Paris
"48.81257171624298, 2.188259860000293","{""coordinates"": [2.188259860000293, 48.81257171624298], ""type"": ""Point""}",175,Chaville Rive Droite,43241,Chaville Rive Droite,TRAIN L,TRAIN,48.81257171624298, 2.188259860000293,Banlieue,Chaville
"48.743016568968, 2.2959214068976026","{""coordinates"": [2.295921406897603, 48.743016568968], ""type"": ""Point""}",286,Fontaine-Michalon,43124,Fontaine Michalon,RER B,RER,48.743016568968, 2.2959214068976026,Banlieue,Antony
"48.84476017033219, 2.3735936532622803","{""coordinates"": [2.37359365326228, 48.84476017033219], ""type"": ""Point""}",316,Gare de Lyon,470195,Gare de Lyon,TRAIN R,TRAIN,48.84476017033219, 2.3735936532622803,12ème Ardt,Paris
"49.0804937060923, 2.003715373018928","{""coordinates"": [2.003715373018928, 49.0804937060923], ""type"": ""Point""}",557,Montgeroult-Courcelles,44161,Montgeroult - Courcelles,TRAIN J,TRAIN,49.0804937060923, 2.003715373018928,Banlieue,Montgeroult
"48.90456638896682, 2.3226263683342263","{""coordinates"": [2.322626368334226, 48.90456638896682], ""type"": ""Point""}",832,Saint-Ouen,43203,Saint-Ouen,RER C,RER,48.90456638896682, 2.3226263683342263,Banlieue,Saint-Ouen-sur-Seine
"48.89807641019572, 2.094836628297753","{""coordinates"": [2.094836628297753, 48.89807641019572], ""type"": ""Point""}",820,Saint-Germain-en-Laye,43198,Saint-Germain-en-Laye,RER A,RER,48.89807641019572, 2.094836628297753,Banlieue,Saint-Germain-en-Laye
"48.4305048175848, 2.75299838499599","{""coordinates"": [2.75299838499599, 48.4305048175848], ""type"": ""Point""}",922,Vulaines-sur-Seine-Samoreau,47136,Vulaines-sur-Seine - Samoreau,TRAIN R,TRAIN,48.4305048175848, 2.75299838499599,Banlieue,Vulaines-sur-Seine
"48.80948226298239, 2.135087456598117","{""coordinates"": [2.135087456598117, 48.80948226298239], ""type"": ""Point""}",884,Versailles Rive Droite,44602,Versailles Rive Droite,TRAIN L,TRAIN,48.80948226298239, 2.135087456598117,Banlieue,Versailles
"48.83345085727892, 2.3317401309853487","{""coordinates"": [2.331740130985349, 48.83345085727892], ""type"": ""Point""}",236,Denfert-Rochereau,473890,Denfert-Rochereau,METRO 4,METRO,48.83345085727892, 2.3317401309853487,14ème Ardt,Paris
"48.873513388661024, 2.3275430817269704","{""coordinates"": [2.32754308172697, 48.873513388661024], ""type"": ""Point""}",344,Havre-Caumartin,58718,Haussmann Saint-Lazare,METRO 3,METRO,48.873513388661024, 2.3275430817269704,9ème Ardt,Paris
"48.87371340577332, 2.3276954096301727","{""coordinates"": [2.327695409630173, 48.87371340577332], ""type"": ""Point""}",345,Havre-Caumartin,58718,Haussmann Saint-Lazare,METRO 9,METRO,48.87371340577332, 2.3276954096301727,9ème Ardt,Paris
"48.84894464412929, 2.3958794351856882","{""coordinates"": [2.395879435185688, 48.84894464412929], ""type"": ""Point""}",586,Nation,473875,Nation,METRO 9,METRO,48.84894464412929, 2.3958794351856882,11ème Ardt,Paris
"48.84847428503984, 2.39506230542588","{""coordinates"": [2.39506230542588, 48.84847428503984], ""type"": ""Point""}",584,Nation,473875,Nation,METRO 2,METRO,48.84847428503984, 2.39506230542588,12ème Ardt,Paris
"48.87949310699919, 2.388566870479196","{""coordinates"": [2.388566870479196, 48.87949310699919], ""type"": ""Point""}",93,Botzaris,42369,Botzaris,METRO 7bis,METRO,48.87949310699919, 2.388566870479196,19ème Ardt,Paris
"48.85216836871572, 2.3896255399759543","{""coordinates"": [2.389625539975954, 48.85216836871572], ""type"": ""Point""}",98,Rue des Boulets,425987,Rue des Boulets,METRO 9,METRO,48.85216836871572, 2.3896255399759543,11ème Ardt,Paris
"48.86865415090181, 2.341376051143573","{""coordinates"": [2.341376051143573, 48.86865415090181], ""type"": ""Point""}",104,Bourse,45101,Bourse,METRO 3,METRO,48.86865415090181, 2.341376051143573,2ème Ardt,Paris
"48.8561407102205, 2.370209339755371","{""coordinates"": [2.370209339755371, 48.8561407102205], ""type"": ""Point""}",107,Bréguet-Sabin,42390,Bréguet-Sabin,METRO 5,METRO,48.8561407102205, 2.370209339755371,11ème Ardt,Paris
"48.906374770235026, 2.4491899044793355","{""coordinates"": [2.449189904479335, 48.906374770235026], ""type"": ""Point""}",79,Bobigny Pablo Picasso,42345,Bobigny Pablo Picasso,METRO 5,METRO,48.906374770235026, 2.4491899044793355,Banlieue,Bobigny
"48.84547070664901, 2.429205166347999","{""coordinates"": [2.429205166347999, 48.84547070664901], ""type"": ""Point""}",65,Bérault,42318,Bérault,METRO 1,METRO,48.84547070664901, 2.429205166347999,Banlieue,Vincennes
"48.869091161091255, 2.380542586000036","{""coordinates"": [2.380542586000036, 48.869091161091255], ""type"": ""Point""}",220,Couronnes,42772,Couronnes,METRO 2,METRO,48.869091161091255, 2.380542586000036,20ème Ardt,Paris
"48.83333855831707, 2.3866324020669847","{""coordinates"": [2.386632402066985, 48.83333855831707], ""type"": ""Point""}",221,Cour Saint-Émilion,45234,Cour Saint-Emilion,METRO 14,METRO,48.83333855831707, 2.3866324020669847,12ème Ardt,Paris
"48.78992046595464, 2.4505115282905896","{""coordinates"": [2.45051152829059, 48.78992046595464], ""type"": ""Point""}",226,Créteil-Université,42779,Créteil Université,METRO 8,METRO,48.78992046595464, 2.4505115282905896,Banlieue,Créteil
