Identifiant station,Nom station,Station en fonctionnement,CapacitÃ© de la station,Nombre bornettes libres,Nombre total vÃ©los disponibles,VÃ©los mÃ©caniques disponibles,VÃ©los Ã©lectriques disponibles,Borne de paiement disponible,Retour vÃ©lib possible,Actualisation de la donnÃ©e,CoordonnÃ©es gÃ©ographiques,Nom communes Ã©quipÃ©es,Code INSEE communes Ã©quipÃ©es,station_velib_plus,geometry,Latitude,Longitude,arrondissement,quartier
13001,Port-Royal - HÃ´pital du Val-de-GrÃ¢ce,OUI,18,14,2,0,2,OUI,OUI,2023-06-05T08:28:49+02:00,"48.837668272811, 2.3448138346607",Paris,,FALSE,,48.837668272811,2.3448138346607,13ème Ardt,Croulebarbe
21209,MoliÃ¨re - RÃ©publique,OUI,30,30,0,0,0,OUI,OUI,2023-06-05T08:26:52+02:00,"48.81111581390707, 2.3145738624448158",Montrouge,,FALSE,,48.81111581390707,2.3145738624448158,Banlieue,Banlieue
19044,Grands Moulins de Pantin,OUI,50,37,13,5,8,OUI,OUI,2023-06-05T08:28:35+02:00,"48.89738369720229, 2.3959985375404362",Paris,,FALSE,,48.89738369720229,2.3959985375404362,19ème Ardt,Pont-de-Flandre
14012,Sibelle - AlÃ©sia,OUI,25,23,2,2,0,OUI,OUI,2023-06-05T08:28:56+02:00,"48.826701758539215, 2.3384983465075493",Paris,,FALSE,,48.826701758539215,2.3384983465075493,14ème Ardt,Parc-de-Montsouris
44006,Concorde - Stalingrad,OUI,35,23,11,8,3,OUI,OUI,2023-06-05T08:30:32+02:00,"48.7985844, 2.3821302",Vitry-sur-Seine,,FALSE,,48.7985844,2.3821302,Banlieue,Banlieue
10042,Enghien - Faubourg PoissonniÃ¨re,OUI,33,25,4,1,3,OUI,OUI,2023-06-05T08:24:03+02:00,"48.872420063053, 2.3483952362828",Paris,,FALSE,,48.872420063053,2.3483952362828,10ème Ardt,Porte-Saint-Denis
15105,FÃ©dÃ©ration - Suffren,OUI,25,9,15,15,0,OUI,OUI,2023-06-05T08:30:01+02:00,"48.852828153442346, 2.2978776320815086",Paris,,FALSE,,48.852828153442346,2.2978776320815086,15ème Ardt,Grenelle
20131,Repos - CimetiÃ¨re du PÃ¨re Lachaise,OUI,33,33,0,0,0,OUI,OUI,2023-06-05T08:29:55+02:00,"48.859358523593, 2.3896131366845",Paris,,FALSE,,48.859358523593,2.3896131366845,20ème Ardt,Père-Lachaise
5004,Saint-Jacques - Val de GrÃ¢ce,OUI,19,12,6,4,2,OUI,OUI,2023-06-05T08:30:36+02:00,"48.8417514, 2.3413893",Paris,,FALSE,,48.8417514,2.3413893,5ème Ardt,Val-de-Grace
15034,Lakanal - Commerce,OUI,53,27,25,24,1,OUI,OUI,2023-06-05T08:29:17+02:00,"48.84442462786544, 2.294059172272682",Paris,,FALSE,,48.84442462786544,2.294059172272682,15ème Ardt,Grenelle
14138,Porte de Vanves,OUI,32,24,8,4,4,OUI,OUI,2023-06-05T08:30:33+02:00,"48.828012849445, 2.3056878894567",Paris,,FALSE,,48.828012849445,2.3056878894567,14ème Ardt,Plaisance
48010,Karl Marx,OUI,16,13,2,2,0,OUI,OUI,2023-06-05T08:29:38+02:00,"48.784527937293184, 2.3646667979455587",Villejuif,,FALSE,,48.784527937293184,2.3646667979455587,Banlieue,Banlieue
12114,Victor Hugo - Jeanne Jugan,OUI,28,26,1,0,1,OUI,OUI,2023-06-05T08:26:57+02:00,"48.843949064031825, 2.415081394834419",Paris,,FALSE,,48.843949064031825,2.415081394834419,12ème Ardt,Bel-Air
22203,Tertres - Fontaine,OUI,28,28,0,0,0,OUI,OUI,2023-06-05T08:29:53+02:00,"48.787553654715644, 2.306235730648041",Bagneux,,FALSE,,48.787553654715644,2.306235730648041,Banlieue,Banlieue
10024,Buisson Saint-Louis - Saint-Maur,OUI,19,18,1,1,0,OUI,OUI,2023-06-05T08:30:39+02:00,"48.87174684930295, 2.3722528328789854",Paris,,FALSE,,48.87174684930295,2.3722528328789854,10ème Ardt,Hôpital-Saint-Louis
17031,Place de la Porte de Champerret,OUI,0,0,0,0,0,NON,NON,2023-02-17T00:20:23+01:00,"48.88561741628322, 2.290781411279206",Paris,,FALSE,,48.88561741628322,2.290781411279206,17ème Ardt,Ternes
18028,Championnet - Vauvenargues,OUI,33,30,1,0,1,OUI,OUI,2023-06-05T08:28:54+02:00,"48.89401874744574, 2.3319872841238976",Paris,,FALSE,,48.89401874744574,2.3319872841238976,18ème Ardt,Grandes-Carrières
42021,Raspail - Manufacture des Oeillets,OUI,32,11,19,14,5,OUI,OUI,2023-06-05T08:30:15+02:00,"48.8094458, 2.3903009",Ivry-sur-Seine,,FALSE,,48.8094458,2.3903009,Banlieue,Banlieue
14008,Mouton Duvernet - GÃ©nÃ©ral Leclerc,OUI,39,38,0,0,0,OUI,OUI,2023-06-05T08:30:15+02:00,"48.831632518292565, 2.3293121159076686",Paris,,FALSE,,48.831632518292565,2.3293121159076686,14ème Ardt,Petit-Montrouge
11030,Oberkampf - RÃ©publique,OUI,24,21,2,0,2,OUI,OUI,2023-06-05T08:26:16+02:00,"48.865316087070475, 2.3761147849099955",Paris,,FALSE,,48.865316087070475,2.3761147849099955,11ème Ardt,Saint-Ambroise
5124,Erasme - Ulm,OUI,24,17,6,3,3,OUI,OUI,2023-06-05T08:30:47+02:00,"48.84264375274712, 2.3445946723222733",Paris,,FALSE,,48.84264375274712,2.3445946723222733,5ème Ardt,Val-de-Grace
31708,Noisy le Sec - Jean-Baptiste ClÃ©ment,OUI,22,19,1,0,1,OUI,OUI,2023-06-05T08:27:29+02:00,"48.87451538963655, 2.415283620357514",Bagnolet,,FALSE,,48.87451538963655,2.415283620357514,Banlieue,Banlieue
14106,Marc Sangnier - Porte de Vanves,OUI,21,12,8,6,2,OUI,OUI,2023-06-05T08:29:35+02:00,"48.825218683556734, 2.3107116669416428",Paris,,FALSE,,48.825218683556734,2.3107116669416428,14ème Ardt,Plaisance
35020,Marcelle - Thalie,OUI,20,17,1,0,1,OUI,OUI,2023-06-05T08:29:31+02:00,"48.8835462, 2.4137883",Pantin,,FALSE,,48.8835462,2.4137883,Banlieue,Banlieue
18046,Etienne Jodelle - Saint Ouen,OUI,33,29,0,0,0,OUI,OUI,2023-06-05T08:30:40+02:00,"48.88794016394694, 2.326124420314341",Paris,,FALSE,,48.88794016394694,2.326124420314341,18ème Ardt,Grandes-Carrières
5106,Cujas - Saint-Michel,OUI,19,11,3,0,3,OUI,OUI,2023-06-05T08:30:22+02:00,"48.848191348584, 2.341831654854",Paris,,FALSE,,48.848191348584,2.341831654854,5ème Ardt,Sorbonne
22406,Guy MÃ´quet - Etienne Dolet,OUI,23,14,6,1,5,OUI,OUI,2023-06-05T08:30:05+02:00,"48.81527009991819, 2.298078276995073",Malakoff,,FALSE,,48.81527009991819,2.298078276995073,Banlieue,Banlieue
22402,Jean JaurÃ¨s - Salvador Allende,OUI,43,31,10,5,5,OUI,OUI,2023-06-05T08:27:48+02:00,"48.821475594736775, 2.3026576638221745",Malakoff,,FALSE,,48.821475594736775,2.3026576638221745,Banlieue,Banlieue
35002,Jean JaurÃ¨s - Presles,OUI,30,22,8,1,7,OUI,OUI,2023-06-05T08:28:00+02:00,"48.90713441498779, 2.396005728053061",Pantin,,FALSE,,48.90713441498779,2.396005728053061,Banlieue,Banlieue
21008,Victor Hugo - GalliÃ©ni,OUI,34,30,2,0,2,OUI,OUI,2023-06-05T08:29:36+02:00,"48.83802015441127, 2.2460845112800603",Boulogne-Billancourt,,FALSE,,48.83802015441127,2.2460845112800603,Banlieue,Banlieue
2111,Chabanais - Petits Champs,OUI,30,16,14,10,4,OUI,OUI,2023-06-05T08:27:53+02:00,"48.86703740186721, 2.336716018617153",Paris,,FALSE,,48.86703740186721,2.336716018617153,2ème Ardt,Vivienne
11039,Richard Lenoir - Jean-Pierre Timbaud,OUI,36,27,5,4,1,OUI,OUI,2023-06-05T08:30:20+02:00,"48.86580427668637, 2.369337074966926",Paris,,FALSE,,48.86580427668637,2.369337074966926,11ème Ardt,Folie-Méricourt
18022,Marcadet - BarbÃ¨s,OUI,37,34,0,0,0,OUI,OUI,2023-06-05T08:29:12+02:00,"48.890451120965, 2.3490573929687",Paris,,FALSE,,48.890451120965,2.3490573929687,18ème Ardt,Clignancourt
